ID,The store ID,,,,,,,,,,,,,,,
SalesUnites,How many unites of the product had been sold at this store,,,,,,,,,,,,,,,
Design,"1 means Luxury design,  2 means Normal design",,,,,,,,,,,,,,,
Quality,"1 means High quality,  2 means Normal qulaity",,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,
Promotion,Yespromotion means the price had been labeled as the promotional price (It was discounted price),,,,,,,,,,,,,,,
AdvertisingSpending,The amount of the money which had been spent to advertise in the store location,,,,,,,,,,,,,,,
SalesforceExperience,Showing the level of salesforce experince in the store ,,,,,,,,,,,,,,,
Location,Where is the Store NA: North America EU: Europe,,,,,,,,,,,,,,,
Season,Showing the season,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,